title,company,city,link
Управляющий в фирменный магазин iPort (Apple Premium Reseller),NBCom Group,Казань,https://hh.ru/vacancy/68918443?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель отдела по региональным продажам,ООО Гагаринский консервный комбинат,Москва,https://hh.ru/vacancy/68870133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор по цепям поставок (food/non-food),StaffRecruitment,Москва,https://hh.ru/vacancy/55868722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор (Алматы),ООО Ордамед,Москва,https://hh.ru/vacancy/68932487?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Генеральный директор,ООО ФЦБ,Симферополь,https://hh.ru/vacancy/68659372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель развития региона,ООО Чижик,Казань,https://hh.ru/vacancy/68851289?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Заместитель генерального управляющего отелем,Ц-К менеджмент,Санкт-Петербург,https://hh.ru/vacancy/68355655?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Исполнительный директор,ТОО КАРАДА ПРО,Алматы,https://hh.ru/vacancy/68802549?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор филиала (в г. Южно-Сахалинск),ООО Сахалин-Трейд,Санкт-Петербург,https://hh.ru/vacancy/68931791?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Финансовый директор,Бруталити,Казань,https://hh.ru/vacancy/68800602?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Генеральный директор Дорожное строительство,Urals Capital,Тюмень,https://hh.ru/vacancy/68591756?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель направления (удаленно),ТОО Витрина плюс,ТОО Витрина плюс,https://hh.ru/vacancy/68865643?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Заместитель директора департамента казначейства Народного банка Узбекистана (Головной офис),Xalq Banki,Алматы,https://hh.ru/vacancy/68345971?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Управляющий салона красоты,ИП Дмитриева Елена Николаевна,Москва,https://hh.ru/vacancy/68418377?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель отдела продаж грузовиков и спецтехники,ООО Надежные Машины,Санкт-Петербург,https://hh.ru/vacancy/68919507?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор (F&B director),EventyOn,Санкт-Петербург,https://hh.ru/vacancy/68803660?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор филиала,Медиахолдинг Свежий ветер,Самара,https://hh.ru/vacancy/68930262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Технический директор,АО Химки-СМИ,Химки,https://hh.ru/vacancy/68016826?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор фиксированного бизнеса,билайн,Ярославль,https://hh.ru/vacancy/68576025?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Управляющий Директор банным комплексом,ТОО ЛесТорг-Пв,Павлодар,https://hh.ru/vacancy/68768019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор по организации коммерческого блока,ТДО Qurmet Pro,Нур-Султан,https://hh.ru/vacancy/68032042?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель складских операций,Леруа Мерлен. Склады,Москва,https://hh.ru/vacancy/68776429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель департамента по работе с операторами связи,билайн,Москва,https://hh.ru/vacancy/68797660?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель филиала,ООО Тика Про,Новосибирск,https://hh.ru/vacancy/68440231?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор строительного магазина,Ellis Design,Уфа,https://hh.ru/vacancy/68853267?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор,Жираф,Барнаул,https://hh.ru/vacancy/67593006?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель отдела продаж,АО ЦВЕТКОВ И ПАРТНЕРЫ,АО ЦВЕТКОВ И ПАРТНЕРЫ,https://hh.ru/vacancy/68874768?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор,Drhead,Москва,https://hh.ru/vacancy/67301288?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор,УК Русские сезоны,Москва,https://hh.ru/vacancy/68631761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Главный трейдер по закупке и реализации нефти и нефтепродуктов/Коммерческий Директор,Пр-во Эй-Си-Джи Файненс лимитед,Санкт-Петербург,https://hh.ru/vacancy/68898978?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель партнерского центра/Менеджер среднего звена (г.Москва),ИП Мустафина Гульнара Фирдавесовна,Москва,https://hh.ru/vacancy/68606368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Управляющий сети магазинов,Орлянская Лариса Витальевна,Омск,https://hh.ru/vacancy/68326993?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель/Директор офиса,ООО СмениКварти.Ру,Москва,https://hh.ru/vacancy/68660657?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор автосервисного центра,ШИНСЕРВИС,Санкт-Петербург,https://hh.ru/vacancy/68701213?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор Клиники в г. Сочи,ООО Варикоза Нет,Омск,https://hh.ru/vacancy/68876082?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор,ТОО МФО Credit365 Kazakhstan (Кредит 365 Казахстан),Алматы,https://hh.ru/vacancy/68144332?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
